username,poster_id,gender,time,content
赖床的小瑄瑄,3798887887,f,38分钟前,啊……我还以为是陈红，就是春光灿烂猪八戒里面那个嫦娥，陈凯歌的老婆，陈飞宇他妈
赖床的小瑄瑄,3798887887,f,1小时前,哇，终于等到了新的复工通知邮件，上海全员复工，北京等hr通知复工，不知道hr什么时候会通知我们，祈祷晚一点晚一点……  
赖床的小瑄瑄,3798887887,f,4小时前,在网上买了牛排回来煎，还蛮好吃的，超满足～  
赖床的小瑄瑄,3798887887,f,昨天 19:03,啊啊啊为什么没有新的复工通知邮件了……感觉我3.2就真的要去继续上班了……好害怕嘤嘤嘤……住在朝阳在海淀上班，北京疫情最严重的两个区……上班要坐最挤的10号线……打车的话一天来回要100块钱还要排队超久……太难了  
赖床的小瑄瑄,3798887887,f,昨天 18:53,啊我又被它的外表蒙骗了……珍妮曲奇并没有丹麦黄油曲奇好吃，只能说口感更好一点，但味道确实比较一般  
赖床的小瑄瑄,3798887887,f,02-25,天呐我们气气是肿么了啊……之前很长一段时间每天被工作压的喘不动气，回家睡前看一场气气的吃播是一天里最享受的事。感觉怎么会有这么单纯美好的女孩，喜欢看她吃到好吃的时双眼放光满脸满足的表情。这么好的女孩子，居然生病了，说着一堆我听不懂的哲学还是心理学的术语，快快好起来吧小天使～
赖床的小瑄瑄,3798887887,f,02-25,在家办公一个月，吃完了一大盒两斤装的曲奇……我不胖谁胖  
赖床的小瑄瑄,3798887887,f,02-25,我排在33万名，6年后……不知道会不会等新能源排到了，普通号还没摇到……
赖床的小瑄瑄,3798887887,f,02-25,啊才周二就开始无比期盼周末，为什么三月份一个法定假期都没有啊……如果现在还在上学的话，就可以成天在家躺着啥也不用干了……上学的时候除了穷真的哪都好，上班以后不仅穷还压力巨大，昨晚做梦满脑子都是工作，醒来阴天困得要死……  
赖床的小瑄瑄,3798887887,f,02-24,咦……好恶心啊//:就想知道，好吃吗
赖床的小瑄瑄,3798887887,f,02-24,今日份的水果……感觉草莓还没熟就被摘下来了，又硬又酸……  
赖床的小瑄瑄,3798887887,f,02-23,周末二倍速刷完了《想见你》，还有《安家》可以看。啊一个周末就能看完一部剧，要是不上班的话，真不知道有啥让自己过得不那么无聊的方式～  
赖床的小瑄瑄,3798887887,f,02-23,海底捞的牛油锅底真是万能的，煮什么都好吃～买午餐肉买错了，买成了方形火腿好难吃像橡皮一样……  
赖床的小瑄瑄,3798887887,f,02-22,今天姨妈再次造访提醒我，我已经在博哥家啃老整整一个月了……衣来伸手饭来张口的生活让我俩充气式肥胖……  
赖床的小瑄瑄,3798887887,f,02-21,内心大概已经55岁了，就退休还可以拿工资那种//:21//:高中的时候//:五十多岁吧！我的内心很苍老！//:28岁左右//:看到这种问题提醒我又老了//:18...真的//:我也25吧，再长大就没有年龄概念了。
赖床的小瑄瑄,3798887887,f,02-20,"离大佬最近的一次，跟我mentor的老板的老板的老板汇报……虽然大佬又给安排了45678个to-do, 但至少这一关暂时过了，绩效应该比较稳了，开熏！  "
赖床的小瑄瑄,3798887887,f,02-20,知道为啥这么着急开发了……下周开始阿里所有绿色的人必须去上班……
赖床的小瑄瑄,3798887887,f,02-20,看哭了……上班还划水的我相比之下真是……
赖床的小瑄瑄,3798887887,f,02-19,感觉真的跟阿里的价值观完全不一致……天天熬到凌晨四点大肆宣扬……前几天男票也被紧急派了一个通宵的活让他推了，真的绩效打低无所谓，人累死了就啥都没了……
赖床的小瑄瑄,3798887887,f,02-18,延迟到3.2再去上班啦，开心，虽然在家办公也没比去单位轻松多少，但起码省下了上下班路上的时间和食堂排队的时间，上班之后还有一个半月就发年终奖了，生活还是充满了希望……不过就要厚着脸皮在博哥家住一个多月了，感觉发了工资应该打一半给我婆婆作伙食费  
赖床的小瑄瑄,3798887887,f,02-18,啊原来看吃播真的能看饱！看多了就不饿了看啥都不想吃～  
赖床的小瑄瑄,3798887887,f,02-17,好想吃汉堡啊……
赖床的小瑄瑄,3798887887,f,02-15,看完《釜山行》要吓死了……  
赖床的小瑄瑄,3798887887,f,02-15,今天试着点了家乐福……太坑了……店员打电话说：有些东西没有，她帮我换了我：咋换的店员：就是换的和你点的差不多的，一类的我：那差价呢店员：都换的比您点的还贵一些的我：都有哪些换了呀店员：鱼豆腐给您换成了鱼丸，卫龙魔芋爽换成了辣条……等等我：……您别换了，没有的都给我退了吧 ...
赖床的小瑄瑄,3798887887,f,02-14,啊啊啊周末的一开始看潮流合伙人，本来一边看颜值爆表的人一边看好看的衣服，结果来了个翟天临，好气啊，又想起因为他我们那年毕业论文卡的巨严，气！  
赖床的小瑄瑄,3798887887,f,02-14,下雪喽～今晚刷朋友圈把大家发的好吃的都记下来了，明天去超市一股脑买齐！   
赖床的小瑄瑄,3798887887,f,02-13,哈哈哈是我，今天看了下这半个月的花呗只有500块钱……啃老有点爽
赖床的小瑄瑄,3798887887,f,02-12,上午划了一小时水，虽然有点慌，但又有点暗爽……结果到了晚上来了一堆事，现在还没干完……一量发现发烧37.1了……但我已经20天没出门了，年前还因为起痘痘全天戴的口罩……阴差阳错防护了一下下太难了……这周还单休……真的太难了……  
赖床的小瑄瑄,3798887887,f,02-12,妈耶看哭了……
