username,poster_id,gender,time,content,,,,
tuxNt-片甲不pvx,7202116343,m,7月25日,生活不可能像你想的那么美好，但也不会像你想的那么糟。 ,,,,
tuxNt-片甲不pvx,7202116343,m,7月24日,外物之味，久则可厌；读书之味，愈久愈深。——程颢 ,,,,
tuxNt-片甲不pvx,7202116343,m,7月24日,生活不是让你用来妥协的。你退缩得越多，那么可以让你喘息的空间也就是越少。 ,,,,
tuxNt-片甲不pvx,7202116343,m,7月24日,人生没有绝对的公平，而是相对公平。在一个天平上，你得到越多，势必要承受更多，每一个看似低的起点，都是通往更高峰的必经之路。 ,,,,
tuxNt-片甲不pvx,7202116343,m,7月23日,服难以勇，治乱以智。——《庄子·田子方》 ,,,,
tuxNt-片甲不pvx,7202116343,m,7月23日,很多人分不清理想和欲望，理想就是当你想它时，你是快乐的；欲望就是当你想它时，你是痛苦的。 ,,,,
tuxNt-片甲不pvx,7202116343,m,7月22日,经过大海的一番磨砺，卵石才变得更加美丽光滑。 ,,,,
tuxNt-片甲不pvx,7202116343,m,7月22日,积极向上的心态，是成功者的最基本要素。 ,,,,
tuxNt-片甲不pvx,7202116343,m,7月21日,激流勇进者方能领略江河源头的奇观胜景。 ,,,,
tuxNt-片甲不pvx,7202116343,m,7月20日,我不是天生的王者，但我骨子里流着不服输的血液。 ,,,,
tuxNt-片甲不pvx,7202116343,m,7月18日,天上不会掉下玫瑰来，如果想更多的玫瑰，必须自己种植。——艾略特 ,,,,
tuxNt-片甲不pvx,7202116343,m,7月17日,你既认准这条路，又何必在意要走多久。 ,,,,
tuxNt-片甲不pvx,7202116343,m,7月17日,勇敢地迎接逆境，即使不能实现最初的梦想，也会打开另一扇梦想的大门。 ,,,,
tuxNt-片甲不pvx,7202116343,m,7月16日,日间不作亏心事，半夜敲门心不惊。——清·钱大晰《恒言录》 ,,,,
tuxNt-片甲不pvx,7202116343,m,7月16日,通往光明的道路是平坦的，为了成功，为了奋斗的渴望，我们不得不努力。 ,,,,
tuxNt-片甲不pvx,7202116343,m,7月14日,当你决定不再在乎的时候，生活就好起来了！ ,,,,
tuxNt-片甲不pvx,7202116343,m,7月14日,强者征服今天，懦夫哀叹昨天，懒汉坐等明天。 ,,,,
tuxNt-片甲不pvx,7202116343,m,7月13日,困难是一块顽石，对于弱者它是绊脚石，对于强者它是垫脚石。 ,,,,
tuxNt-片甲不pvx,7202116343,m,7月13日,人生最大的错误是不断担心会犯错。 ,,,,
tuxNt-片甲不pvx,7202116343,m,7月13日,任何时候，我也不会满足，越是多读书，就越是深刻地感到不满足，越感到自己知识贫乏。科学是奥妙无穷的。——马克思 ,,,,
tuxNt-片甲不pvx,7202116343,m,7月13日,穷人并不是指身无分文的人，而是指没有梦想的人。 ,,,,
tuxNt-片甲不pvx,7202116343,m,7月12日,考验一个人的勇气，往往不是看他敢不敢死，而是看他敢不敢活。——《谚语手册》 ,,,,
tuxNt-片甲不pvx,7202116343,m,7月7日,当你觉得没有人来爱你，别人看见的就是可怜兮兮，毫无魅力的你。 ,,,,
tuxNt-片甲不pvx,7202116343,m,7月7日,忌妒别人，不会给自己增加任何的好处，忌妒别人，也不可能减少别人的成就。 ,,,,
tuxNt-片甲不pvx,7202116343,m,7月5日,没有热忱，世间便无进步。 ,,,,
tuxNt-片甲不pvx,7202116343,m,7月5日,好好管教自己，不要管别人。 ,,,,
tuxNt-片甲不pvx,7202116343,m,7月4日,少玩游戏，这不是韩国，你打不出房子车子还有资本。可以有爱好，但要把握尺度，少玩农场，牧场，斗地主等一些高度吸引人思想的晋级游戏，也许你的级别很高，但不代表你有多么成功，反而会影响和占据你成功的时间。 ,,,,
tuxNt-片甲不pvx,7202116343,m,7月3日,踩着垃圾到达的高度和踩着金子到达的高度是一样的。 ,,,,
tuxNt-片甲不pvx,7202116343,m,7月3日,生活就像一杯白开水，向里面放一块糖，这杯水就会变甜，一味地灌进苦水，它就会苦不堪言。 ,,,,
tuxNt-片甲不pvx,7202116343,m,7月2日,假如你错过了日出，请不要错过晨光；假如你错过了机遇，请不要错过希望。 ,,,,
tuxNt-片甲不pvx,7202116343,m,7月1日,有的人活了一辈子，却没有真正活过完整的一天！因为他们不是追忆过去，就是期许未来，从来没有活在当下。 ,,,,
tuxNt-片甲不pvx,7202116343,m,7月1日,生活不是让你用来妥协的。你退缩得越多，那么可以让你喘息的空间也就是越少。 ,,,,
tuxNt-片甲不pvx,7202116343,m,6月30日,别拿自己的无知说成是别人的愚昧！ ,,,,
tuxNt-片甲不pvx,7202116343,m,6月30日,一个人的理想越崇高，生活越纯洁。——伏尼契 ,,,,
tuxNt-片甲不pvx,7202116343,m,6月30日,成功的道路上充满荆棘，苦战方能成功。 ,,,,
tuxNt-片甲不pvx,7202116343,m,6月28日,不要拿小人的错误来惩罚自己，不要在这些微不足道的事情上折磨浪费自己的宝贵时间。 ,,,,
tuxNt-片甲不pvx,7202116343,m,6月28日,现实是此岸，理想是彼岸，中间隔着湍急的河流，行动则是架在河上的桥梁。 ,,,,
tuxNt-片甲不pvx,7202116343,m,6月27日,本来无望的事，大胆尝试，往往能成功。 ,,,,
tuxNt-片甲不pvx,7202116343,m,6月26日,大起大落谁都有拍拍灰尘继续走。 ,,,,
tuxNt-片甲不pvx,7202116343,m,6月26日,实力的来源不是胜利。唯有奋斗才能增强实力。当你历经苦难而不气馁，那就是实力。 ,,,,
方糖姑娘不要再做梦了,2611949092,f,2019/12/10,红菜汤、大列巴、烤猪颈肉、意面肉沫子、金枪鱼沙拉！  ,,,,
方糖姑娘不要再做梦了,2611949092,f,12月10日,分量是真的多！   ,,,,
方糖姑娘不要再做梦了,2611949092,f,12月3日,又回到了这里！老板问我一个人啊！我有点心酸，差不多一年没有来过这边了！  ,,,,
方糖姑娘不要再做梦了,2611949092,f,11月11日,宋城还是挺好玩的 千古情还是比较适合年龄比较大的！反正我是不喜欢看！  ,,,,
方糖姑娘不要再做梦了,2611949092,f,11月11日,风景还是不错的哦！昨天没有发 今天补起  ,,,,
方糖姑娘不要再做梦了,2611949092,f,11月9日,毕竟是穿汉服嘛！跟着团里的两个小姐姐很开心！  ,,,,
方糖姑娘不要再做梦了,2611949092,f,11月8日,毕竟是吸猫体质！像只小老虎一样的向我走来，求抚摸  ,,,,
方糖姑娘不要再做梦了,2611949092,f,11月8日,第二个打卡地！已经懒得P图了！  ,,,,
方糖姑娘不要再做梦了,2611949092,f,11月8日,纪念一个人跟团游，留园打卡！  ,,,,
方糖姑娘不要再做梦了,2611949092,f,10月26日,再见！这座出门冷到爆 回家热到睡不着的城市！  ,,,,
方糖姑娘不要再做梦了,2611949092,f,10月5日,在这个菜市场的犄角旮旯的地方！居然有特别好吃的牛肉！是我吃过的牛肉最好吃的地方！  ,,,,
方糖姑娘不要再做梦了,2611949092,f,10月2日,第一次在陌生的城市拿药，问题还是旅行阶段！  ,,,,
方糖姑娘不要再做梦了,2611949092,f,9月17日,懒得修图 原相机拍摄！没有好用的美颜相机！一次很特别的旅行！  ,,,,
方糖姑娘不要再做梦了,2611949092,f,9月17日,不想修图！就这样看吧！  ,,,,
方糖姑娘不要再做梦了,2611949092,f,9月14日,美食打卡！  ,,,,
方糖姑娘不要再做梦了,2611949092,f,7月19日,分享图片  ,,,,
方糖姑娘不要再做梦了,2611949092,f,7月19日,分享图片  ,,,,
方糖姑娘不要再做梦了,2611949092,f,6月9日,端午节  ,,,,
方糖姑娘不要再做梦了,2611949092,f,5月31日,,,,,
方糖姑娘不要再做梦了,2611949092,f,5月26日,网红地打卡！  ,,,,
方糖姑娘不要再做梦了,2611949092,f,5月6日,分享图片  ,,,,
方糖姑娘不要再做梦了,2611949092,f,4月12日,转发微博,,,,
方糖姑娘不要再做梦了,2611949092,f,1月16日,分享图片  ,,,,
方糖姑娘不要再做梦了,2611949092,f,1月7日,我以为我身披盔甲、无坚不摧！结果我还是那个刚到宜宾的小女孩！  ,,,,
方糖姑娘不要再做梦了,2611949092,f,2018/10/6,开心  ,,,,
方糖姑娘不要再做梦了,2611949092,f,2018/9/21,转发微博,,,,
方糖姑娘不要再做梦了,2611949092,f,2018/9/9,分享图片  ,,,,
方糖姑娘不要再做梦了,2611949092,f,2018/7/11,一别两宽 各生欢喜 ,,,,
方糖姑娘不要再做梦了,2611949092,f,2018/7/9,分享图片 ,,,,
方糖姑娘不要再做梦了,2611949092,f,2018/4/9,和真爱谈了一下午的恋爱 晚上还在一起向胖子出发   ,,,,
